rodada,instancia,LS,break,TT,tempo,Cmax
18,10,sim,nao,0,10.095,1195.0
19,1,sim,nao,263,8.868,1336.0
19,2,sim,nao,946,7.507,1472.0
19,3,sim,nao,0,7.58,1225.0
19,4,sim,nao,0,8.596,1198.0
19,5,sim,nao,118,7.913,1382.0
19,6,sim,nao,1081,8.425,1233.0
19,7,sim,nao,123,9.642,1397.0
19,8,sim,nao,0,7.958,1286.0
19,9,sim,nao,0,8.028,1386.0
19,10,sim,nao,0,9.887,1194.0
20,1,sim,nao,237,8.9,1320.0
20,2,sim,nao,951,8.556,1472.0
20,3,sim,nao,1,7.836,1215.0
20,4,sim,nao,8,9.866,1233.0
20,5,sim,nao,118,7.271,1382.0
20,6,sim,nao,1081,8.085,1233.0
20,7,sim,nao,123,9.315,1397.0
20,8,sim,nao,0,6.974,1256.0
20,9,sim,nao,0,7.474,1395.0
20,10,sim,nao,0,9.003,1195.0
21,1,nao,nao,289,0.72,1334.0
21,2,nao,nao,956,0.696,1472.0
21,3,nao,nao,1,0.638,1205.0
21,4,nao,nao,26,0.725,1194.0
21,5,nao,nao,118,0.77,1382.0
21,6,nao,nao,1126,0.748,1293.0
21,7,nao,nao,123,0.849,1397.0
21,8,nao,nao,0,0.761,1296.0
21,9,nao,nao,0,0.843,1371.0
21,10,nao,nao,16,0.787,1208.0
22,1,nao,nao,286,0.866,1334.0
22,2,nao,nao,962,0.899,1457.0
22,3,nao,nao,1,0.826,1225.0
22,4,nao,nao,0,0.932,1198.0
22,5,nao,nao,119,0.761,1382.0
22,6,nao,nao,1134,0.794,1234.0
22,7,nao,nao,147,0.903,1420.0
22,8,nao,nao,0,0.805,1266.0
22,9,nao,nao,6,0.866,1402.0
22,10,nao,nao,0,0.799,1194.0
23,1,nao,nao,297,0.759,1335.0
23,2,nao,nao,966,0.81,1472.0
23,3,nao,nao,0,0.788,1224.0
23,4,nao,nao,5,0.709,1205.0
23,5,nao,nao,118,0.76,1382.0
23,6,nao,nao,1147,0.992,1293.0
23,7,nao,nao,156,0.965,1420.0
23,8,nao,nao,0,1.006,1239.0
23,9,nao,nao,13,0.99,1409.0
23,10,nao,nao,0,0.951,1194.0
24,1,nao,nao,286,0.832,1334.0
24,2,nao,nao,1082,0.848,1457.0
24,3,nao,nao,0,0.819,1232.0
24,4,nao,nao,0,0.794,1202.0
24,5,nao,nao,119,0.764,1382.0
24,6,nao,nao,1144,0.85,1242.0
24,7,nao,nao,156,1.014,1420.0
24,8,nao,nao,0,0.751,1273.0
24,9,nao,nao,0,0.687,1400.0
24,10,nao,nao,22,0.763,1213.0
25,1,nao,nao,284,0.689,1383.0
25,2,nao,nao,995,0.8,1472.0
25,3,nao,nao,2,0.782,1238.0
25,4,nao,nao,1,0.799,1238.0
25,5,nao,nao,118,0.848,1382.0
25,6,nao,nao,1165,0.855,1242.0
25,7,nao,nao,147,1.017,1420.0
25,8,nao,nao,5,0.799,1243.0
25,9,nao,nao,0,0.849,1398.0
25,10,nao,nao,22,0.945,1211.0
26,1,nao,nao,284,0.813,1383.0
26,2,nao,nao,946,0.83,1472.0
26,3,nao,nao,0,0.83,1226.0
26,4,nao,nao,1,0.709,1238.0
26,5,nao,nao,118,0.768,1382.0
26,6,nao,nao,1117,0.738,1293.0
26,7,nao,nao,145,0.788,1392.0
26,8,nao,nao,0,0.703,1249.0
26,9,nao,nao,0,0.694,1390.0
26,10,nao,nao,5,0.722,1200.0
27,1,nao,nao,288,0.786,1383.0
27,2,nao,nao,952,0.846,1472.0
27,3,nao,nao,2,0.751,1219.0
27,4,nao,nao,0,0.783,1202.0
27,5,nao,nao,118,0.737,1382.0
27,6,nao,nao,1122,0.762,1293.0
27,7,nao,nao,156,0.796,1392.0
27,8,nao,nao,0,0.694,1270.0
27,9,nao,nao,0,0.683,1388.0
27,10,nao,nao,0,0.733,1195.0
28,1,nao,nao,286,0.807,1334.0
28,2,nao,nao,998,0.73,1472.0
28,3,nao,nao,9,0.75,1242.0
28,4,nao,nao,0,0.769,1202.0
28,5,nao,nao,118,0.7,1382.0
28,6,nao,nao,1147,0.901,1293.0
28,7,nao,nao,159,0.887,1448.0
28,8,nao,nao,10,0.891,1271.0
28,9,nao,nao,0,0.809,1383.0
28,10,nao,nao,0,0.881,1194.0
29,1,nao,nao,284,0.891,1383.0
29,2,nao,nao,993,0.952,1472.0
29,3,nao,nao,0,0.773,1234.0
29,4,nao,nao,0,0.75,1202.0
29,5,nao,nao,118,0.738,1382.0
29,6,nao,nao,1188,0.76,1256.0
29,7,nao,nao,123,0.761,1397.0
29,8,nao,nao,0,0.691,1251.0
29,9,nao,nao,0,0.802,1396.0
29,10,nao,nao,2,0.755,1198.0
30,1,nao,nao,262,0.755,1336.0
30,2,nao,nao,1010,0.776,1472.0
30,3,nao,nao,0,0.861,1210.0
30,4,nao,nao,0,0.8,1198.0
30,5,nao,nao,119,0.699,1382.0
30,6,nao,nao,1134,0.736,1234.0
30,7,nao,nao,123,0.724,1397.0
30,8,nao,nao,0,0.692,1233.0
30,9,nao,nao,6,0.711,1400.0
30,10,nao,nao,10,0.722,1212.0
31,1,nao,sim,284,0.708,1383.0
31,2,nao,sim,951,0.841,1472.0
31,3,nao,sim,0,0.9,1238.0
31,4,nao,sim,8,1.019,1205.0
31,5,nao,sim,124,0.768,1382.0
31,6,nao,sim,1122,0.717,1293.0
31,7,nao,sim,123,0.759,1397.0
31,8,nao,sim,0,0.671,1287.0
31,9,nao,sim,0,0.611,1395.0
31,10,nao,sim,4,0.606,1200.0
32,1,nao,sim,286,0.753,1334.0
32,2,nao,sim,1002,0.756,1472.0
32,3,nao,sim,11,0.602,1216.0
32,4,nao,sim,8,0.612,1219.0
32,5,nao,sim,118,0.604,1382.0
32,6,nao,sim,1081,0.745,1233.0
32,7,nao,sim,151,0.64,1420.0
32,8,nao,sim,0,0.723,1251.0
32,9,nao,sim,0,0.657,1373.0
32,10,nao,sim,0,0.636,1195.0
33,1,nao,sim,320,0.658,1368.0
33,2,nao,sim,995,0.748,1472.0
33,3,nao,sim,0,0.691,1238.0
33,4,nao,sim,8,0.691,1219.0
33,5,nao,sim,118,0.697,1382.0
33,6,nao,sim,1081,0.66,1233.0
33,7,nao,sim,147,0.681,1397.0
33,8,nao,sim,0,0.802,1236.0
33,9,nao,sim,0,0.611,1398.0
33,10,nao,sim,6,0.657,1201.0
34,1,nao,sim,284,0.674,1383.0
34,2,nao,sim,970,0.744,1472.0
34,3,nao,sim,0,0.692,1219.0
34,4,nao,sim,5,0.682,1219.0
34,5,nao,sim,123,0.62,1382.0
34,6,nao,sim,1104,0.635,1275.0
34,7,nao,sim,147,0.693,1420.0
34,8,nao,sim,0,0.658,1261.0
34,9,nao,sim,0,0.556,1395.0
34,10,nao,sim,3,0.629,1195.0
35,1,nao,sim,286,0.617,1334.0
35,2,nao,sim,1023,0.653,1472.0
35,3,nao,sim,0,0.613,1219.0
35,4,nao,sim,22,0.605,1220.0
35,5,nao,sim,120,0.615,1382.0
35,6,nao,sim,1081,0.691,1233.0
35,7,nao,sim,140,0.597,1397.0
35,8,nao,sim,0,0.648,1264.0
35,9,nao,sim,18,0.607,1387.0
35,10,nao,sim,19,0.587,1207.0
36,1,nao,sim,316,0.75,1341.0
36,2,nao,sim,1005,0.728,1472.0
36,3,nao,sim,26,0.68,1233.0
36,4,nao,sim,22,0.586,1220.0
36,5,nao,sim,118,0.644,1382.0
36,6,nao,sim,1125,0.682,1293.0
36,7,nao,sim,147,0.642,1420.0
36,8,nao,sim,0,0.612,1266.0
36,9,nao,sim,3,0.612,1353.0
36,10,nao,sim,3,0.719,1198.0
37,1,nao,sim,278,0.773,1320.0
37,2,nao,sim,1007,0.63,1472.0
37,3,nao,sim,2,0.631,1219.0
37,4,nao,sim,8,0.624,1233.0
37,5,nao,sim,119,0.594,1382.0
37,6,nao,sim,1122,0.681,1293.0
37,7,nao,sim,123,0.694,1397.0
37,8,nao,sim,0,0.634,1275.0
37,9,nao,sim,0,0.607,1361.0
37,10,nao,sim,7,0.624,1202.0
38,1,nao,sim,263,0.742,1332.0
38,2,nao,sim,946,0.654,1472.0
